Citizenship Country,Atlanta Area of Responsibility,Baltimore Area of Responsibility,Boston Area of Responsibility,Buffalo Area of Responsibility,Chicago Area of Responsibility,Dallas Area of Responsibility,Denver Area of Responsibility,Detroit Area of Responsibility,El Paso Area of Responsibility,HQ Area of Responsibility,Harlingen Area of Responsibility,Houston Area of Responsibility,Los Angeles Area of Responsibility,Miami Area of Responsibility,New Orleans Area of Responsibility,New York City Area of Responsibility,Newark Area of Responsibility,Philadelphia Area of Responsibility,Phoenix Area of Responsibility,Salt Lake City Area of Responsibility,San Antonio Area of Responsibility,San Diego Area of Responsibility,San Francisco Area of Responsibility,Seattle Area of Responsibility,St. Paul Area of Responsibility,Washington Area of Responsibility
GUINEA-BISSAU,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
GUYANA,5,1,0,12,0,0,0,1,0,0,0,0,1,5,1,7,4,4,0,0,0,0,0,0,1,2
HAITI,31,15,52,4,39,1,2,18,3,0,1,2,3,278,23,36,24,45,2,2,1,11,1,6,5,11
HONDURAS,1126,286,161,21,745,1084,176,252,70,0,237,1795,185,1590,1719,174,249,245,77,241,1216,16,129,107,253,641
HONG KONG,0,1,1,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0
HUNGARY,0,0,0,4,0,0,0,0,0,0,0,1,2,11,0,1,1,1,0,0,0,0,0,0,1,1
INDIA,49,4,17,19,87,27,8,26,3,0,5,37,52,28,57,32,33,36,18,5,26,6,144,36,9,36
INDONESIA,0,1,0,0,0,2,2,1,0,0,0,1,9,1,6,2,1,4,0,2,1,0,0,2,0,0
IRAN,4,4,0,5,5,8,9,6,5,0,0,12,68,18,5,13,2,1,10,8,39,4,7,2,1,4
IRAQ,0,0,2,0,7,4,0,4,1,0,0,0,3,1,3,0,0,1,7,3,3,6,1,1,0,0
IRELAND,2,0,9,0,1,3,0,0,0,0,0,0,0,6,2,1,5,1,0,0,0,0,0,0,0,8
ISRAEL,2,0,0,0,3,3,0,5,0,0,2,2,3,12,2,1,0,1,1,0,1,0,2,0,0,1
ITALY,2,2,8,1,2,2,1,1,0,0,0,1,0,13,2,0,3,3,0,4,1,0,0,0,0,1
IVORY COAST,5,3,1,0,1,2,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,2
JAMAICA,46,14,32,26,8,4,0,6,3,0,0,6,6,211,64,47,32,40,4,2,1,1,1,1,2,15
JAPAN,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
JORDAN,6,0,2,1,13,17,0,7,1,0,0,10,5,15,16,0,4,4,1,0,8,0,2,1,0,13
KAZAKHSTAN,0,0,2,2,0,1,0,1,0,0,0,1,5,6,1,1,4,4,0,0,1,1,1,3,0,0
KENYA,3,5,3,0,3,7,1,2,0,0,0,3,0,2,7,2,3,2,6,0,1,0,0,4,1,1
KOREA,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
KOSOVO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0
KUWAIT,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
KYRGYZSTAN,0,2,0,0,7,0,1,0,0,0,0,0,4,2,3,1,0,5,0,0,0,0,0,2,1,1
LAOS,6,1,7,1,10,18,2,1,1,0,0,2,9,5,26,0,0,2,3,4,0,9,26,0,15,0
LATVIA,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0
LEBANON,0,0,2,0,1,1,0,6,0,0,0,1,2,1,2,2,0,1,4,0,1,0,1,2,0,0
LIBERIA,5,4,7,2,4,2,0,0,2,0,0,0,0,1,0,1,3,5,2,0,0,0,0,0,18,2
LIBYA,1,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LITHUANIA,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
MALAWI,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALAYSIA,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MALI,7,0,0,0,3,0,1,3,0,0,0,0,0,0,0,5,0,3,1,0,1,0,0,1,1,0
MALTA,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MARSHALL ISLANDS,0,0,0,0,0,2,1,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,2,0,0,0
MAURITANIA,5,1,3,6,7,2,6,21,0,0,0,5,0,0,13,18,1,15,0,0,0,1,0,1,0,48
MAURITIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
MEXICO,3346,242,199,185,2708,4535,1024,869,986,10,2428,3627,2467,2752,3541,165,459,735,2452,1905,2131,852,1022,609,943,476
"MICRONESIA, FEDERATED STATES OF",1,0,0,0,2,3,0,0,0,0,0,1,0,0,8,0,0,0,1,0,0,0,41,3,9,0
MOLDOVA,4,1,1,0,2,0,0,1,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0
MONGOLIA,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,1
MONTENEGRO,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
MONTSERRAT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MOROCCO,3,0,7,0,0,5,0,0,1,0,0,1,1,4,4,5,1,1,0,1,2,2,0,1,0,7
MOZAMBIQUE,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAMIBIA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
NEPAL,1,1,0,2,0,11,2,1,0,0,11,3,0,1,8,8,1,4,1,0,36,1,2,1,1,17
NETHERLANDS,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1,0,0,3,0,2,0,0,0,1,0,0
NEW ZEALAND,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,1,0,4,0,0,3,1,0,0
NICARAGUA,317,58,29,6,410,189,55,79,32,1,23,249,207,730,362,30,89,65,73,62,283,3,55,44,161,189
NIGER,0,2,0,0,1,4,0,0,0,0,0,3,0,0,1,1,0,3,0,0,1,0,0,0,0,0
NIGERIA,16,13,7,2,17,22,3,2,2,0,0,20,6,3,10,3,10,15,3,0,5,0,2,0,2,5
NORTH MACEDONIA,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OMAN,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
PAKISTAN,5,5,3,6,7,9,0,3,0,0,1,9,0,0,2,3,3,10,0,1,6,0,1,4,0,9
PALAU,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
PANAMA,5,0,0,1,1,2,1,2,0,0,0,2,1,10,2,4,0,4,0,1,3,0,2,0,0,6
PAPUA NEW GUINEA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PARAGUAY,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,1,0,0,0,0,0,0,0,0,0
PERU,82,47,58,12,37,20,32,9,5,0,1,14,69,134,26,56,176,52,7,145,31,4,68,24,4,217
PHILIPPINES,6,2,0,0,3,0,1,0,0,0,1,4,8,4,4,1,4,2,1,7,1,4,15,4,1,2
POLAND,1,0,3,1,11,1,1,2,0,0,0,2,0,5,2,1,5,3,0,2,1,0,1,1,0,0
PORTUGAL,0,0,21,0,0,2,0,2,0,0,0,1,0,3,3,1,4,2,0,1,0,0,1,0,0,0
ROMANIA,33,15,16,0,27,19,19,5,0,0,0,18,29,36,27,7,9,15,12,21,19,5,14,7,3,20
RUSSIA,12,3,10,3,9,5,3,8,1,0,0,2,66,49,7,21,5,21,3,2,8,8,21,10,2,9
RWANDA,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
SAMOA,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,2,0,0,0
SAO TOME AND PRINCIPE,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAUDI ARABIA,0,0,0,0,1,2,2,3,1,0,0,0,0,4,5,0,0,0,1,0,2,0,0,1,0,0
SENEGAL,21,6,4,1,13,1,1,21,1,0,0,1,4,0,12,56,6,5,1,1,1,0,0,1,0,9
SERBIA,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
SERBIA AND MONTENEGRO,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
SIERRA LEONE,4,5,0,1,1,0,0,0,0,0,0,0,0,1,1,1,2,3,0,0,0,0,2,1,0,3
SINT EUSTATIUS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SLOVAKIA,0,2,0,0,1,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0
SLOVENIA,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
SOMALIA,1,0,0,6,4,2,1,5,0,0,0,0,0,1,0,1,0,0,3,5,0,5,0,5,18,5
SOUTH AFRICA,0,1,1,0,3,2,1,1,0,0,3,0,0,6,4,0,0,0,1,0,0,0,0,1,3,1
SOUTH KOREA,4,3,1,1,1,2,0,1,0,0,0,1,7,0,1,0,3,1,0,0,1,1,5,0,0,1
SOUTH SUDAN,0,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,9,0
SPAIN,7,3,20,4,4,1,0,3,1,0,1,11,1,19,3,3,12,11,0,8,1,0,0,1,4,4
SRI LANKA,0,0,1,4,0,2,0,0,0,0,0,7,0,0,0,2,0,0,0,0,0,0,1,0,0,0
ST. KITTS-NEVIS,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0
ST. LUCIA,0,0,1,4,2,0,0,0,0,0,0,0,0,3,0,2,2,0,0,0,0,0,0,0,0,0
ST. VINCENT-GRENADINES,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SUDAN,1,0,2,3,1,3,2,1,0,0,0,2,2,1,3,1,0,1,3,10,1,3,0,2,10,3
SURINAME,0,1,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0
SWEDEN,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
SYRIA,3,0,1,1,1,2,2,1,0,0,0,2,5,0,0,0,0,1,1,0,5,1,1,0,1,2
TAIWAN,0,1,1,1,0,4,0,1,1,0,0,5,4,1,1,0,0,0,0,0,0,0,1,0,1,0
TAJIKISTAN,0,0,0,0,1,0,1,0,0,0,0,0,4,0,0,1,1,24,0,0,0,0,0,0,2,0
TANZANIA,0,1,1,0,0,2,0,0,0,0,0,1,0,1,1,0,2,0,0,0,0,0,0,1,1,1
THAILAND,2,0,1,1,0,1,1,0,0,0,0,1,2,5,2,0,0,1,1,1,1,0,3,1,2,1
TOGO,1,3,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,1,2,0,0,0,2,4
TONGA,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0
TRINIDAD AND TOBAGO,1,2,1,8,0,0,0,0,0,0,1,1,0,14,0,3,4,5,1,1,0,0,0,0,1,0
TUNISIA,0,0,0,0,0,1,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0,1,0,2
TURKIYE,4,7,20,3,1,0,4,8,1,0,2,3,3,12,12,10,31,30,3,0,11,10,6,0,1,15
TURKMENISTAN,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TURKS AND CAICOS ISLANDS,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
UGANDA,0,0,2,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,0,0
UKRAINE,6,1,1,1,2,1,0,0,1,0,0,2,2,12,2,6,1,12,3,1,0,1,2,6,0,1
UNITED ARAB EMIRATES,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UNITED KINGDOM,6,2,11,1,3,3,2,1,0,0,1,3,6,15,3,3,7,4,0,2,5,1,1,2,1,5
URUGUAY,1,0,1,0,1,2,0,0,0,0,0,1,0,7,1,0,5,2,0,0,0,0,0,0,0,0
USSR,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,1,0,0,0,0,0,1,0,0,0
UZBEKISTAN,4,5,0,0,5,0,1,23,0,0,0,1,1,4,7,19,3,43,1,0,3,1,5,0,0,2
VENEZUELA,713,70,57,59,633,1079,376,254,345,3,45,293,125,987,474,185,120,174,214,288,734,80,62,129,112,334
VIETNAM,26,19,12,10,16,39,1,9,5,0,2,27,103,8,43,3,1,5,20,1,13,35,27,4,4,23
YEMEN,0,1,0,1,0,0,0,6,0,0,0,0,1,0,1,2,0,1,0,2,1,0,0,0,0,1
YUGOSLAVIA,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0
ZAMBIA,1,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
ZIMBABWE,2,0,2,0,0,10,0,1,0,0,0,1,3,1,1,0,1,1,0,0,0,0,0,0,1,0
