Citizenship Country,Female,Male,Unknown
TURKIYE,40,357,1
TURKMENISTAN,0,3,0
TURKS AND CAICOS ISLANDS,0,5,3
UGANDA,3,20,0
UKRAINE,22,104,1
UNITED ARAB EMIRATES,0,2,0
UNITED KINGDOM,26,197,1
URUGUAY,10,47,0
USSR,0,17,0
UZBEKISTAN,38,551,1
VENEZUELA,2709,12477,47
VIETNAM,69,707,3
YEMEN,1,35,0
YUGOSLAVIA,0,6,0
ZAMBIA,3,16,0
ZIMBABWE,6,29,1
