Citizenship Country,Atlanta Area of Responsibility,Baltimore Area of Responsibility,Boston Area of Responsibility,Buffalo Area of Responsibility,Chicago Area of Responsibility,Dallas Area of Responsibility,Denver Area of Responsibility,Detroit Area of Responsibility,El Paso Area of Responsibility,HQ Area of Responsibility,Harlingen Area of Responsibility,Houston Area of Responsibility,Los Angeles Area of Responsibility,Miami Area of Responsibility,New Orleans Area of Responsibility,New York City Area of Responsibility,Newark Area of Responsibility,Philadelphia Area of Responsibility,Phoenix Area of Responsibility,Salt Lake City Area of Responsibility,San Antonio Area of Responsibility,San Diego Area of Responsibility,San Francisco Area of Responsibility,Seattle Area of Responsibility,St. Paul Area of Responsibility,Washington Area of Responsibility
BANGLADESH,1.54,3.08,4.62,4.62,0.0,3.08,0.0,6.15,0.0,0.0,0.0,3.08,0.0,13.85,6.15,27.69,4.62,6.15,0.0,1.54,0.0,0.0,1.54,4.62,0.0,7.69
BARBADOS,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,30.0,10.0,10.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
BELARUS,5.56,0.0,5.56,0.0,5.56,0.0,11.11,0.0,5.56,0.0,0.0,0.0,0.0,22.22,5.56,5.56,5.56,11.11,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0
BELGIUM,0.0,0.0,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,0.0,0.0,33.33,0.0,11.11,0.0,11.11,11.11,0.0
BELIZE,2.52,5.04,0.0,3.36,7.56,5.04,0.84,0.0,0.84,0.0,1.68,9.24,17.65,6.72,10.08,2.52,0.84,2.52,0.84,2.52,5.04,0.84,7.56,0.84,2.52,3.36
BENIN,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BHUTAN,0.0,0.0,0.0,0.0,20.0,0.0,0.0,26.67,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,26.67,0.0,6.67,0.0,0.0,0.0,6.67,0.0,0.0
BOLIVIA,2.5,2.5,3.33,0.0,3.33,1.67,0.0,0.0,1.67,0.0,3.33,0.0,0.83,15.83,2.5,0.83,5.0,0.83,0.0,0.83,1.67,0.0,0.0,2.5,2.5,48.33
BOSNIA-HERZEGOVINA,11.11,0.0,5.56,2.78,36.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.78,0.0,5.56,2.78,0.0,5.56,5.56,2.78,0.0,2.78,0.0,0.0,11.11,5.56
BOTSWANA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BRAZIL,6.67,1.5,32.23,1.43,0.87,0.44,0.19,1.25,0.37,0.0,5.17,0.19,0.12,16.77,1.18,1.75,15.15,9.29,0.06,1.0,0.5,0.31,0.44,2.62,0.31,0.19
BRITISH VIRGIN ISLANDS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0
BRUNEI,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BULGARIA,0.0,14.29,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,42.86,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0
BURKINA FASO,25.0,0.0,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,18.75,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25
BURMA,4.29,0.0,0.0,0.0,47.14,7.14,1.43,0.0,0.0,1.43,0.0,8.57,0.0,0.0,4.29,1.43,0.0,1.43,1.43,0.0,0.0,0.0,0.0,1.43,20.0,0.0
BURUNDI,0.0,0.0,41.18,0.0,5.88,11.76,0.0,5.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.88,17.65,0.0,0.0,0.0,0.0,0.0,5.88,5.88
CAMBODIA,4.26,0.0,8.51,0.0,2.13,4.26,0.0,8.51,0.0,0.0,0.0,0.0,10.64,6.38,6.38,0.0,0.0,4.26,0.0,0.0,0.0,2.13,27.66,8.51,4.26,2.13
CAMEROON,2.41,24.1,4.82,0.0,1.2,7.23,0.0,7.23,0.0,0.0,0.0,3.61,1.2,4.82,14.46,1.2,1.2,2.41,3.61,0.0,0.0,12.05,1.2,0.0,1.2,6.02
CANADA,9.29,0.71,2.86,2.14,6.43,2.86,1.43,7.14,2.14,0.0,0.0,2.14,3.57,10.0,9.29,1.43,4.29,5.0,5.0,1.43,2.14,0.0,2.86,13.57,2.86,1.43
CAPE VERDE,0.0,4.0,88.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
CENTRAL AFRICAN REPUBLIC,0.0,0.0,33.33,0.0,0.0,33.33,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHAD,0.0,9.09,9.09,0.0,0.0,9.09,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.18,0.0,0.0,9.09,0.0,18.18,0.0,0.0,18.18,0.0,0.0
CHILE,4.51,0.75,4.26,1.75,4.76,1.5,1.5,1.75,0.0,0.0,0.25,1.5,3.76,30.83,5.26,2.26,8.77,6.02,3.26,10.03,2.26,1.25,1.25,1.0,0.25,1.25
"CHINA, PEOPLES REPUBLIC OF",5.25,1.27,3.62,3.62,5.43,9.6,1.27,1.63,0.36,0.0,0.18,2.54,9.06,5.8,10.14,5.43,2.54,9.06,2.36,1.99,2.17,1.45,8.88,3.26,1.81,1.27
COLOMBIA,5.83,0.7,4.67,0.91,8.49,4.75,2.23,2.39,2.06,0.02,4.97,3.89,6.56,13.57,4.6,9.13,8.35,1.63,0.8,3.94,5.2,0.32,0.9,2.21,0.88,1.03
CONGO,2.86,0.0,17.14,0.0,17.14,8.57,2.86,0.0,0.0,0.0,0.0,5.71,0.0,0.0,0.0,5.71,2.86,2.86,2.86,2.86,20.0,0.0,0.0,0.0,2.86,5.71
COSTA RICA,6.06,3.64,0.61,0.61,4.24,4.24,1.21,1.21,1.82,0.0,2.42,5.45,1.82,18.79,3.64,1.21,22.42,6.06,0.0,2.42,6.06,0.0,1.82,1.21,1.21,1.82
CROATIA,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,40.0,0.0
CUBA,3.94,0.12,0.24,0.7,8.6,8.96,0.67,2.39,4.69,0.0,4.57,11.02,0.97,28.32,4.54,0.85,4.03,1.33,1.27,0.64,5.88,0.15,0.36,1.54,3.66,0.55
CURACAO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CYPRUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZECH REPUBLIC,10.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CZECHOSLOVAKIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
DEM REP OF THE CONGO,7.69,0.0,23.08,0.0,17.95,3.85,0.0,2.56,0.0,0.0,2.56,1.28,0.0,1.28,2.56,1.28,0.0,3.85,7.69,5.13,1.28,1.28,1.28,3.85,7.69,3.85
DENMARK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DJIBOUTI,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOMINICA,7.69,0.0,7.69,15.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.54,0.0,0.0,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DOMINICAN REPUBLIC,2.27,0.67,16.41,3.68,1.95,1.15,0.16,1.76,0.35,0.0,3.9,1.25,0.61,15.48,2.88,16.28,14.26,13.85,0.35,0.06,1.28,0.1,0.26,0.16,0.51,0.38
ECUADOR,1.2,1.34,4.55,2.06,6.57,1.19,0.33,0.99,1.86,0.0,5.5,0.94,0.89,1.91,1.22,37.91,15.88,2.37,0.62,0.32,2.04,0.13,0.08,0.48,9.43,0.2
EGYPT,5.88,1.18,3.53,3.53,3.53,4.71,0.0,0.0,1.18,0.0,0.0,4.71,1.18,7.06,17.65,3.53,14.12,11.76,2.35,0.0,8.24,0.0,3.53,0.0,1.18,1.18
EL SALVADOR,4.87,5.99,2.21,0.97,4.66,10.61,1.19,1.08,0.73,0.02,3.71,15.91,4.93,4.9,8.78,2.47,2.61,1.41,0.88,1.98,3.43,0.37,2.78,0.42,2.1,10.97
EQUATORIAL GUINEA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ERITREA,8.0,8.0,0.0,8.0,0.0,4.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,4.0,4.0,8.0,0.0,8.0,0.0,12.0,16.0,4.0
ESTONIA,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ESWATINI,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ETHIOPIA,4.88,12.2,4.88,0.0,0.0,2.44,0.0,4.88,0.0,0.0,0.0,0.0,0.0,0.0,7.32,0.0,0.0,2.44,0.0,7.32,0.0,19.51,0.0,0.0,14.63,19.51
FIJI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,0.0,0.0,0.0,0.0,0.0,14.29,0.0,14.29,42.86,14.29,0.0,0.0
FINLAND,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0
FRANCE,9.52,4.76,4.76,2.38,2.38,7.14,0.0,4.76,0.0,0.0,0.0,2.38,7.14,21.43,4.76,2.38,7.14,0.0,0.0,0.0,2.38,0.0,0.0,4.76,0.0,11.9
FRENCH GUIANA,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FRENCH POLYNESIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GABON,0.0,20.0,0.0,0.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0
GAMBIA,12.5,12.5,0.0,6.25,6.25,6.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,12.5,0.0,6.25,0.0,6.25,0.0,0.0,0.0,0.0,6.25,0.0,12.5
GEORGIA,2.3,3.45,1.15,0.0,1.15,0.0,6.9,4.6,0.0,1.15,0.0,2.3,1.15,1.15,8.05,36.78,11.49,13.79,0.0,0.0,0.0,1.15,2.3,0.0,0.0,1.15
GERMANY,0.0,0.0,3.33,3.33,6.67,0.0,0.0,0.0,3.33,0.0,0.0,0.0,3.33,23.33,6.67,0.0,0.0,10.0,6.67,3.33,0.0,0.0,20.0,0.0,6.67,3.33
GHANA,6.67,5.33,5.33,6.67,0.0,4.0,2.67,12.0,0.0,0.0,0.0,4.0,0.0,1.33,5.33,9.33,10.67,13.33,1.33,2.67,0.0,2.67,0.0,2.67,2.67,1.33
GREECE,0.0,0.0,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,11.11,11.11,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0
GRENADA,20.0,20.0,0.0,20.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
GUADELOUPE,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUATEMALA,6.32,2.15,2.44,0.48,9.83,7.03,0.79,2.19,1.14,0.0,3.32,8.15,2.52,16.4,16.56,1.05,2.32,2.19,2.4,1.12,3.07,0.53,1.06,0.9,3.16,2.9
GUINEA,7.25,2.9,1.45,8.7,5.8,1.45,0.0,2.9,0.0,0.0,0.0,0.0,0.0,1.45,2.9,7.25,8.7,10.14,5.8,1.45,0.0,21.74,2.9,2.9,2.9,1.45
GUINEA-BISSAU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GUYANA,2.9,1.45,2.9,30.43,1.45,1.45,0.0,0.0,0.0,0.0,0.0,1.45,0.0,8.7,5.8,10.14,17.39,11.59,0.0,1.45,0.0,0.0,0.0,1.45,1.45,0.0
HAITI,4.32,2.01,12.04,2.01,5.25,0.0,0.46,1.54,0.15,0.0,0.62,0.46,0.31,49.54,3.7,0.93,6.17,4.32,0.31,0.0,2.93,0.46,0.15,1.08,0.77,0.46
HONDURAS,6.22,2.08,0.82,0.34,7.86,10.1,1.1,1.29,0.8,0.01,4.43,14.6,1.4,9.18,14.88,0.98,1.9,0.94,0.88,2.57,10.05,0.14,1.53,1.13,1.43,3.34
HONG KONG,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,16.67,16.67,0.0,0.0
HUNGARY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.11,0.0,0.0,22.22,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,11.11
ICELAND,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INDIA,4.55,0.52,2.47,3.12,13.64,2.99,1.69,2.6,0.26,0.0,0.52,1.69,1.82,6.49,6.88,4.94,4.68,3.51,2.99,1.3,1.43,0.26,3.77,25.19,2.08,0.65
INDONESIA,0.0,0.0,4.76,0.0,9.52,4.76,4.76,0.0,0.0,0.0,0.0,0.0,4.76,9.52,61.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IRAN,0.0,0.0,0.0,0.0,2.2,13.19,1.1,0.0,3.3,0.0,0.0,16.48,8.79,0.0,7.69,0.0,0.0,1.1,1.1,1.1,31.87,2.2,4.4,2.2,0.0,3.3
IRAQ,0.0,1.85,3.7,1.85,11.11,7.41,0.0,16.67,0.0,0.0,0.0,5.56,5.56,1.85,11.11,0.0,0.0,3.7,3.7,5.56,1.85,7.41,0.0,1.85,3.7,5.56
IRELAND,2.7,0.0,29.73,0.0,0.0,5.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,13.51,10.81,10.81,13.51,0.0,0.0,0.0,0.0,2.7,2.7,2.7,2.7
ISRAEL,2.38,0.0,7.14,0.0,11.9,4.76,0.0,4.76,0.0,0.0,0.0,0.0,9.52,14.29,7.14,2.38,7.14,7.14,2.38,4.76,4.76,0.0,0.0,2.38,2.38,4.76
ITALY,7.58,0.0,7.58,0.0,6.06,6.06,1.52,0.0,0.0,0.0,0.0,3.03,4.55,30.3,3.03,1.52,6.06,6.06,3.03,6.06,0.0,3.03,3.03,0.0,0.0,1.52
IVORY COAST,10.53,0.0,5.26,10.53,5.26,5.26,0.0,0.0,0.0,0.0,0.0,5.26,0.0,5.26,5.26,0.0,10.53,5.26,10.53,5.26,5.26,0.0,0.0,0.0,10.53,0.0
JAMAICA,7.86,1.17,6.26,7.32,1.91,1.38,0.74,2.12,0.32,0.11,0.21,0.74,1.8,29.09,10.62,11.68,5.41,7.54,0.74,0.32,0.21,0.74,0.42,0.32,0.64,0.32
JAPAN,16.67,0.0,0.0,16.67,16.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,16.67,0.0,0.0,0.0
JORDAN,1.94,0.0,1.94,0.97,11.65,16.5,1.94,4.85,0.0,0.0,0.97,7.77,3.88,7.77,6.8,0.97,1.94,2.91,0.97,1.94,6.8,2.91,2.91,1.94,2.91,6.8
KAZAKHSTAN,0.0,0.0,6.67,0.0,0.0,0.0,0.0,6.67,6.67,0.0,0.0,0.0,33.33,6.67,13.33,6.67,0.0,0.0,0.0,0.0,0.0,6.67,6.67,0.0,6.67,0.0
KENYA,10.67,2.67,6.67,0.0,12.0,12.0,0.0,0.0,2.67,0.0,0.0,0.0,1.33,6.67,13.33,0.0,2.67,8.0,2.67,1.33,2.67,0.0,0.0,6.67,5.33,2.67
KOREA,0.0,0.0,0.0,0.0,0.0,33.33,0.0,16.67,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67
KOSOVO,5.88,0.0,0.0,0.0,5.88,11.76,0.0,5.88,0.0,0.0,0.0,0.0,0.0,5.88,0.0,17.65,0.0,11.76,5.88,0.0,29.41,0.0,0.0,0.0,0.0,0.0
KUWAIT,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KYRGYZSTAN,4.35,0.0,4.35,0.0,13.04,0.0,30.43,13.04,0.0,0.0,0.0,0.0,8.7,4.35,0.0,4.35,4.35,8.7,0.0,0.0,0.0,0.0,0.0,4.35,0.0,0.0
LAOS,5.56,0.0,1.39,2.78,5.56,5.56,0.0,0.0,0.0,0.0,0.0,6.94,5.56,0.0,16.67,0.0,1.39,2.78,0.0,1.39,0.0,2.78,26.39,4.17,11.11,0.0
LATVIA,0.0,0.0,8.33,0.0,0.0,0.0,8.33,8.33,0.0,0.0,0.0,0.0,0.0,16.67,25.0,8.33,16.67,0.0,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0
LEBANON,3.12,0.0,0.0,0.0,0.0,3.12,0.0,18.75,0.0,0.0,0.0,3.12,9.38,6.25,6.25,0.0,9.38,0.0,3.12,0.0,37.5,0.0,0.0,0.0,0.0,0.0
LIBERIA,8.64,3.7,3.7,1.23,2.47,1.23,0.0,3.7,2.47,0.0,0.0,3.7,2.47,1.23,4.94,1.23,3.7,22.22,4.94,1.23,0.0,0.0,1.23,0.0,23.46,2.47
LIBYA,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,0.0,0.0,0.0
LITHUANIA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,10.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,20.0,0.0
MALAWI,0.0,0.0,50.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MALAYSIA,0.0,0.0,0.0,0.0,0.0,37.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5
MALI,11.11,0.0,0.0,16.67,0.0,0.0,5.56,0.0,0.0,0.0,0.0,5.56,0.0,0.0,0.0,0.0,5.56,22.22,5.56,0.0,16.67,0.0,5.56,0.0,0.0,5.56
MALTA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MARSHALL ISLANDS,0.0,0.0,0.0,0.0,0.75,2.24,0.0,0.0,0.0,0.0,0.0,0.75,0.75,0.0,85.07,0.75,0.0,0.0,0.0,2.24,0.0,0.0,4.48,0.75,2.24,0.0
MAURITANIA,1.5,0.0,0.0,1.5,26.32,4.51,0.75,9.77,0.0,0.0,0.0,0.75,1.5,2.26,13.53,13.53,0.75,3.76,1.5,0.0,10.53,2.26,0.0,0.0,0.0,5.26
MAURITIUS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MEXICO,6.2,0.46,0.27,0.35,7.9,13.38,1.76,1.7,2.44,0.0,6.04,11.33,5.7,5.03,9.88,0.26,1.44,1.16,6.33,4.43,5.53,0.84,3.37,1.6,1.69,0.88
"MICRONESIA, FEDERATED STATES OF",1.67,0.83,0.0,0.0,8.33,2.5,0.83,0.0,0.0,0.0,0.0,4.17,0.0,0.0,18.33,0.0,0.0,0.0,1.67,5.0,0.0,0.0,38.33,5.83,12.5,0.0
MOLDOVA,0.0,0.0,10.0,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
MONGOLIA,0.0,0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67
MONTENEGRO,0.0,0.0,0.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MONTSERRAT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
MOROCCO,8.82,0.0,2.94,2.94,5.88,0.0,2.94,5.88,0.0,0.0,5.88,0.0,0.0,5.88,2.94,0.0,2.94,5.88,8.82,11.76,8.82,5.88,2.94,0.0,5.88,2.94
