Citizenship Country,Female,Male,Unknown
SIERRA LEONE,8.0,88.0,4.0
SINT EUSTATIUS,,,
SINT MAARTEN(DUTCH),0.0,100.0,0.0
SLOVAKIA,0.0,100.0,0.0
SLOVENIA,0.0,100.0,0.0
SOMALIA,7.69,89.51,2.8
SOUTH AFRICA,21.43,76.79,1.79
SOUTH KOREA,18.29,79.27,2.44
SOUTH SUDAN,13.04,82.61,4.35
SPAIN,21.48,78.52,0.0
SRI LANKA,5.71,94.29,0.0
ST. KITTS-NEVIS,7.14,92.86,0.0
ST. LUCIA,10.0,86.67,3.33
ST. VINCENT-GRENADINES,14.29,85.71,0.0
SUDAN,5.65,94.35,0.0
SURINAME,6.67,93.33,0.0
SWEDEN,8.33,91.67,0.0
SWITZERLAND,0.0,100.0,0.0
SYRIA,0.0,98.97,1.03
TAIWAN,52.5,47.5,0.0
TAJIKISTAN,0.88,99.12,0.0
TANZANIA,11.54,88.46,0.0
THAILAND,6.67,93.33,0.0
TOGO,3.23,96.77,0.0
TONGA,8.7,86.96,4.35
TRINIDAD AND TOBAGO,8.46,90.0,1.54
TUNISIA,8.33,91.67,0.0
TURKIYE,10.05,89.7,0.25
TURKMENISTAN,0.0,100.0,0.0
TURKS AND CAICOS ISLANDS,0.0,62.5,37.5
UGANDA,13.04,86.96,0.0
UKRAINE,17.32,81.89,0.79
UNITED ARAB EMIRATES,0.0,100.0,0.0
UNITED KINGDOM,11.61,87.95,0.45
URUGUAY,17.54,82.46,0.0
USSR,0.0,100.0,0.0
UZBEKISTAN,6.44,93.39,0.17
VENEZUELA,17.78,81.91,0.31
VIETNAM,8.86,90.76,0.39
YEMEN,2.78,97.22,0.0
YUGOSLAVIA,0.0,100.0,0.0
ZAMBIA,15.79,84.21,0.0
ZIMBABWE,16.67,80.56,2.78
